Id;Default
12128;SMC_CP_KIN_DOES_NOT_SUPPORT_AXIS_ORIENTATION_IPO
12129;SMC_CP_AXIS_ORIENTATION_IPO_NOT_SUPPORTED_FOR_CPTR
12130;SMC_CP_INVALID_PATH_ELEM
12131;SMC_CP_TRANSITION_NOT_SMOOTH
12132;SMC_CP_AXIS_ORIENTATION_IPO_CONFIG_DIFFERS
12133;SMC_CP_AXIS_ORIENTATION_IPO_OFFSET2_NOT_IMPLEMENTED
12134;SMC_CP_ROTARY_AXIS_PERIOD_MISMATCH
12135;SMC_CP_ROTARY_AXIS_RANGE_VIOLATION
12136;SMC_CP_COMPUTE_TARGET_DISCONTINUITY
12137;SMC_CP_TRAJECTORY_NOT_SMOOTH
12138;SMC_CP_ERROR_CREATING_PARAM_TRANSFORM
12139;SMC_CP_PTP_DATA_NUMBER_OF_AXES
12140;SMC_CP_NEGATIVE_PATH_VELOCITY
12141;SMC_CP_TRANSITIONING_FROM_SINGLE_AXIS_MOVEMENT_NOT_SUPPORTED
12142;SMC_CP_PLANNER_NO_PROGRESS
12143;SMC_CP_INTERNAL_EVAL_CACHE_ERROR
12144;SMC_CP_INVALID_ROOT_ACC_TOO_HIGH
12145;SMC_CP_INVALID_ROOT_TRAJECTORY_TOO_LARGE
12146;SMC_CP_EMPTY_TRAJECTORY
12147;SMC_CP_FORECAST_TOO_LARGE
12148;SMC_CP_INVALID_ROOT_ENDPOS_NOT_GREATER_STARTPOS
12150;SMC_CP_AXIS_VELOCITY_LIMIT_EXCEEDED_WHITHOUT_MOVING
12151;SMC_CP_AXIS_ACCELERATION_LIMIT_EXCEEDED_WHITHOUT_MOVING
12152;SMC_CP_AXIS_JERK_LIMIT_EXCEEDED_WHITHOUT_MOVING
12153;SMC_CP_AXIS_TORQUE_LIMIT_EXCEEDED_WHITHOUT_MOVING
